id,question_pk,question_title,inserted_pk,level,tryCount,score,memory
1,588,행복,1,1,1,100,160
2,588,행복,1,1,1,100,1112
3,588,행복,1,1,1,100,1112
4,588,행복,1,1,3,100,1112
5,588,행복,1,1,1,100,1112
6,588,행복,1,1,1,100,1112
7,588,행복,1,1,1,100,1112
8,588,행복,1,1,1,100,1112
9,588,행복,1,1,1,100,1112
10,588,행복,1,1,1,100,1112
11,588,행복,1,1,1,100,1112
12,588,행복,1,1,3,100,1112
13,588,행복,1,1,1,100,1112
14,588,행복,1,1,1,100,1112
15,588,행복,1,1,1,100,1112
16,588,행복,1,1,1,100,1112
17,588,행복,1,1,9,100,1112
18,588,행복,1,1,1,100,1112
19,588,행복,1,1,3,100,1112
20,588,행복,1,1,1,100,1112
21,589,화살표 그리기,8,2,1,100,1112
22,589,화살표 그리기,8,2,2,100,1112
23,589,화살표 그리기,8,2,4,100,1112
24,589,화살표 그리기,8,2,1,100,1112
25,589,화살표 그리기,8,2,2,100,1116
26,589,화살표 그리기,8,2,1,100,1116
27,589,화살표 그리기,8,2,5,100,1116
28,589,화살표 그리기,8,2,2,100,1116
29,589,화살표 그리기,8,2,1,100,1116
30,589,화살표 그리기,8,2,1,100,1116
31,589,화살표 그리기,8,2,1,100,1116
32,589,화살표 그리기,8,2,1,100,1116
33,589,화살표 그리기,8,2,1,100,1116
34,589,화살표 그리기,8,2,1,100,1116
35,589,화살표 그리기,8,2,1,100,1116
36,589,화살표 그리기,8,2,16,100,1116
37,589,화살표 그리기,8,2,1,100,1116
38,589,화살표 그리기,8,2,2,100,1116
39,589,화살표 그리기,8,2,1,100,1116
40,589,화살표 그리기,8,2,3,100,1116
41,590,두 로봇,5,3,2,100,11700
42,590,두 로봇,5,3,19,100,14280
43,590,두 로봇,5,3,6,100,14404
44,590,두 로봇,5,3,18,100,9088
45,590,두 로봇,5,3,3,100,9120
46,590,두 로봇,5,3,2,100,9208
47,590,두 로봇,5,3,1,100,9512
48,590,두 로봇,5,3,1,100,9776
49,590,두 로봇,5,3,2,100,10660
50,590,두 로봇,5,3,1,100,12192
51,590,두 로봇,5,3,3,100,12192
52,590,두 로봇,5,3,9,100,12488
53,590,두 로봇,5,3,19,100,42596
54,590,두 로봇,5,3,1,100,5800
55,590,두 로봇,5,3,1,100,8020
56,590,두 로봇,5,3,2,100,8920
57,590,두 로봇,5,3,1,100,8992
58,590,두 로봇,5,3,1,100,9096
59,590,두 로봇,5,3,1,100,9176
60,590,두 로봇,5,3,1,100,9176
61,591,물탱크,4,4,6,100,39992
62,591,물탱크,4,4,1,100,45560
63,591,물탱크,4,4,1,100,32856
64,591,물탱크,4,4,1,100,32824
65,591,물탱크,4,4,1,100,24912
66,591,물탱크,4,4,1,100,32140
67,591,물탱크,4,4,1,100,32952
68,591,물탱크,4,4,1,100,32948
69,591,물탱크,4,4,1,100,32952
70,591,물탱크,4,4,3,100,32952
71,591,물탱크,4,4,1,100,148608
72,591,물탱크,4,4,2,100,31240
73,591,물탱크,4,4,1,100,32352
74,591,물탱크,4,4,1,100,32404
75,591,물탱크,4,4,6,100,22064
76,591,물탱크,4,4,1,100,22712
77,591,물탱크,4,4,1,100,29648
78,591,물탱크,4,4,4,100,30624
79,591,물탱크,4,4,1,100,32352
80,591,물탱크,4,4,8,100,30636
81,592,두 박스,1,2,1,100,1112
82,592,두 박스,1,2,1,100,1112
83,592,두 박스,1,2,1,100,1112
84,592,두 박스,1,2,1,100,1112
85,592,두 박스,1,2,7,100,1112
86,592,두 박스,1,2,1,100,1112
87,592,두 박스,1,2,4,100,1112
88,592,두 박스,1,2,2,100,1112
89,592,두 박스,1,2,1,100,1112
90,592,두 박스,1,2,1,100,1112
91,592,두 박스,1,2,3,100,1112
92,592,두 박스,1,2,1,100,1112
93,592,두 박스,1,2,1,100,1112
94,592,두 박스,1,2,3,100,1112
95,592,두 박스,1,2,6,100,1112
96,592,두 박스,1,2,1,100,1112
97,592,두 박스,1,2,1,100,1112
98,592,두 박스,1,2,1,100,1112
99,592,두 박스,1,2,5,100,1112
100,592,두 박스,1,2,1,100,1112
101,593,두 로봇,5,3,2,100,11700
102,593,두 로봇,5,3,19,100,14280
103,593,두 로봇,5,3,6,100,14404
104,593,두 로봇,5,3,18,100,9088
105,593,두 로봇,5,3,3,100,9120
106,593,두 로봇,5,3,2,100,9208
107,593,두 로봇,5,3,1,100,9512
108,593,두 로봇,5,3,1,100,9776
109,593,두 로봇,5,3,2,100,10660
110,593,두 로봇,5,3,1,100,12192
111,593,두 로봇,5,3,3,100,12192
112,593,두 로봇,5,3,9,100,12488
113,593,두 로봇,5,3,19,100,42596
114,593,두 로봇,5,3,1,100,5800
115,593,두 로봇,5,3,1,100,8020
116,593,두 로봇,5,3,2,100,8920
117,593,두 로봇,5,3,1,100,8992
118,593,두 로봇,5,3,1,100,9096
119,593,두 로봇,5,3,1,100,9176
120,593,두 로봇,5,3,1,100,9176
121,594,물탱크,4,4,6,100,39992
122,594,물탱크,4,4,1,100,45560
123,594,물탱크,4,4,1,100,32856
124,594,물탱크,4,4,1,100,32824
125,594,물탱크,4,4,1,100,24912
126,594,물탱크,4,4,1,100,32140
127,594,물탱크,4,4,1,100,32952
128,594,물탱크,4,4,1,100,32948
129,594,물탱크,4,4,1,100,32952
130,594,물탱크,4,4,3,100,32952
131,594,물탱크,4,4,1,100,148608
132,594,물탱크,4,4,2,100,31240
133,594,물탱크,4,4,1,100,32352
134,594,물탱크,4,4,1,100,32404
135,594,물탱크,4,4,6,100,22064
136,594,물탱크,4,4,1,100,22712
137,594,물탱크,4,4,1,100,29648
138,594,물탱크,4,4,4,100,30624
139,594,물탱크,4,4,1,100,32352
140,594,물탱크,4,4,8,100,30636
141,595,공룡 발자국,3,5,5,100,1940
142,595,공룡 발자국,3,5,5,100,142936
143,595,공룡 발자국,3,5,1,100,72388
144,595,공룡 발자국,3,5,1,100,142936
145,595,공룡 발자국,3,5,3,100,143884
146,595,공룡 발자국,3,5,25,100,72268
147,595,공룡 발자국,3,5,4,100,143160
148,595,공룡 발자국,3,5,4,100,145672
149,595,공룡 발자국,3,5,2,100,143012
150,595,공룡 발자국,3,5,1,100,145652
151,595,공룡 발자국,3,5,1,100,145652
152,595,공룡 발자국,3,5,1,100,143108
153,595,공룡 발자국,3,5,1,100,142940
154,595,공룡 발자국,3,5,3,100,175740
155,595,공룡 발자국,3,5,4,100,143280
156,595,공룡 발자국,3,5,6,100,148468
157,595,공룡 발자국,3,5,1,100,145652
158,595,공룡 발자국,3,5,3,100,142672
159,595,공룡 발자국,3,5,6,100,143036
160,595,공룡 발자국,3,5,5,100,145612
161,596,조화로운 행렬,3,5,1,100,54740
162,596,조화로운 행렬,3,5,1,100,35676
163,596,조화로운 행렬,3,5,3,100,25132
164,596,조화로운 행렬,3,5,1,100,46392
165,596,조화로운 행렬,3,5,13,100,23084
166,596,조화로운 행렬,3,5,1,100,23128
167,596,조화로운 행렬,3,5,1,100,28972
168,596,조화로운 행렬,3,5,1,100,23904
169,596,조화로운 행렬,3,5,1,100,24680
170,596,조화로운 행렬,3,5,6,100,24776
171,596,조화로운 행렬,3,5,1,100,28972
172,596,조화로운 행렬,3,5,2,100,34300
